station_id,time,lat,lon,source,station_name,snw,elevation,clm,nyrs,anom,snw0
ALE-05AA809P,2024-04-01 18:00:00,49.3611,-114.5158,Alberta Environment,GARDINER CREEK PILLOW,529.7792,1970.0,593.80756,27,-64.02838,
ALE-05AA817P,2024-04-01 18:00:00,49.783333333,-114.6,Alberta Environment,SOUTH RACEHORSE CREEK PILLOW,336.40384,1920.0,400.31964,27,-63.915802,
ALE-05AD803P,2024-04-01 18:00:00,49.02727778,-114.052944,Alberta Environment,AKAMINA PASS 2 PILLOW,205.0965,1761.0,486.61047,2,-281.51398,
ALE-05BB803P,2024-04-01 18:00:00,51.083333333,-115.783333,Alberta Environment,SUNSHINE VILLAGE PILLOW,453.44434,2230.0,569.71924,28,-116.2749,
ALE-05BF824P,2024-04-01 18:00:00,50.631388889,-115.279444,Alberta Environment,THREE ISLE LAKE PILLOW,430.45868,2160.0,463.57977,27,-33.121094,
ALE-05BJ805P,2024-04-01 18:00:00,50.705528,-114.989944,Alberta Environment,LITTLE ELBOW SUMMIT PILLOW,311.0032,2120.0,335.0968,29,-24.093597,
ALE-05BL811P,2024-04-01 18:00:00,50.173888889,-114.71,Alberta Environment,LOST CREEK SOUTH PILLOW,543.551,2130.0,604.298,27,-60.74695,
ALE-05BL812P,2024-04-01 18:00:00,50.485917667,-114.913084,Alberta Environment,MOUNT ODLUM PILLOW,366.9212,2060.0,436.337,28,-69.4158,
ALE-05CA805P,2024-04-01 18:00:00,51.540555556,-116.056389,Alberta Environment,SKOKI LODGE PILLOW,291.58182,2120.0,321.939,25,-30.357178,
ALE-05DB802P,2024-04-01 18:00:00,51.894194444,-115.383472,Alberta Environment,LIMESTONE RIDGE PILLOW,217.06876,1970.0,156.36217,28,60.70659,
ALE-05DD804P,2024-04-01 18:00:00,52.670833333,-117.225556,Alberta Environment,SOUTHESK PILLOW,201.3355,2045.0,266.24713,14,-64.91164,
ALE-07BB811P,2024-04-01 18:00:00,53.868888889,-115.543056,Alberta Environment,PADDLE RIVER HEADWATERS PILLOW,4.47727,885.0,66.88285,20,-62.40558,
BCE-1A01P,2024-04-01 18:00:00,52.90622,-118.5475,British Columbia Environment,YELLOWHEAD LAKE,346.0,1860.0,539.9091,22,-193.90912,
BCE-1A03P,2024-04-01 18:00:00,53.057338,-121.491828,British Columbia Environment,BARKERVILLE,236.0,1470.0,351.97916,24,-115.97916,
BCE-1A05P,2024-04-01 18:00:00,53.95083,-121.4431,British Columbia Environment,LONGWORTH UPPER,654.0,1740.0,750.0,4,-96.0,
BCE-1A12P,2024-04-01 18:00:00,56.021192,-126.297597,British Columbia Environment,KAZA LAKE,224.5,1257.0,313.4,5,-88.899994,
BCE-1A14P,2024-04-01 18:00:00,54.10572,-121.0,British Columbia Environment,HEDRICK LAKE,410.0,1130.0,792.8333,18,-382.8333,
BCE-1A15P,2024-04-01 18:00:00,54.30266,-120.782813,British Columbia Environment,KNUDSEN LAKE,491.0,1580.0,601.1,5,-110.099976,
BCE-1A17P,2024-04-01 18:00:00,53.78422,-120.3752,British Columbia Environment,REVOLUTION CREEK,401.0,1680.0,827.5333,30,-426.53333,
BCE-1A19P,2024-04-01 18:00:00,53.626945,-121.016944,British Columbia Environment,DOME MOUNTAIN,512.0,1774.0,762.2,15,-250.20001,
BCE-1B01P,2024-04-01 18:00:00,53.72861,-126.423614,British Columbia Environment,MOUNT WELLS,379.0,1490.0,561.75,28,-182.75,
BCE-1B02P,2024-04-01 18:00:00,53.593055,-127.64389,British Columbia Environment,TAHTSA LAKE,864.0,1300.0,1222.2037,27,-358.20374,[1996]
BCE-1B08P,2024-04-01 18:00:00,53.1525,-126.881111,British Columbia Environment,MT. PONDOSY,580.0,1400.0,786.3571,28,-206.35712,
BCE-1C05P,2024-04-01 18:00:00,50.698556,-122.625375,British Columbia Environment,MCGILLIVRAY PASS,240.5,1718.0,524.1667,3,-283.6667,
BCE-1C12P,2024-04-01 18:00:00,50.795633,-122.924542,British Columbia Environment,GREEN MOUNTAIN,532.0,1780.0,841.75,26,-309.75,
BCE-1C14P,2024-04-01 18:00:00,50.775189,-122.788819,British Columbia Environment,BRALORNE,109.0,1382.0,227.25,2,-118.25,
BCE-1C18P,2024-04-01 18:00:00,50.762556,-122.207694,British Columbia Environment,MISSION RIDGE,330.0,1850.0,546.65,30,-216.65002,
BCE-1C20P,2024-04-01 18:00:00,52.1069,-120.86727,British Columbia Environment,BOSS MOUNTAIN MINE,337.0,1460.0,599.4231,26,-262.4231,
BCE-1C29P,2024-04-01 18:00:00,49.855951,-120.862891,British Columbia Environment,SHOVELNOSE MOUNTAIN,127.0,1460.0,212.0,2,-85.0,
BCE-1C38P,2024-04-01 18:00:00,50.859792,-123.183633,British Columbia Environment,DOWNTON LAKE UPPER,684.0,1829.0,727.0,5,-43.0,
BCE-1C40P,2024-04-01 18:00:00,51.147525,-122.793753,British Columbia Environment,NORTH TYAUGHTON,225.0,1969.0,363.2,5,-138.20001,
BCE-1C41P,2024-04-01 18:00:00,52.83201,-121.35564,British Columbia Environment,YANKS PEAK,503.0,1670.0,839.1458,24,-336.1458,
BCE-1D06P,2024-04-01 18:00:00,50.53625,-122.92996,British Columbia Environment,TENQUILLE LAKE,708.5,1680.0,1036.65,20,-328.15002,
BCE-1D09P,2024-04-01 18:00:00,49.23275,-121.579883,British Columbia Environment,WAHLEACH LAKE,656.0,1480.0,934.9286,28,-278.9286,
BCE-1D17P,2024-04-01 18:00:00,49.0315,-121.7121,British Columbia Environment,CHILLIWACK RIVER,1069.0,1620.0,1469.9231,26,-400.9231,
BCE-1D19P,2024-04-01 18:00:00,49.660831,-121.660835,British Columbia Environment,SPUZZUM,868.0,1180.0,1484.825,20,-616.82495,
BCE-1E02P,2024-04-01 18:00:00,52.18214,-119.3227,British Columbia Environment,MOUNT COOK,911.0,1570.0,1256.4445,18,-345.44446,
BCE-1E08P,2024-04-01 18:00:00,52.595917,-119.722694,British Columbia Environment,AZURE RIVER,774.0,1640.0,1136.7291,24,-362.72913,
BCE-1E14P,2024-04-01 18:00:00,52.167777,-119.303888,British Columbia Environment,COOK CREEK,423.0,1280.0,594.0,12,-171.0,
BCE-1F03P,2024-04-01 18:00:00,50.44961,-118.61856,British Columbia Environment,PARK MOUNTAIN,699.0,1890.0,867.7833,30,-168.78333,
BCE-1F04P,2024-04-01 18:00:00,50.653025,-118.926903,British Columbia Environment,ENDERBY,1010.0,1950.0,857.6667,3,152.33331,
BCE-1F06P,2024-04-01 18:00:00,51.406665,-118.999725,British Columbia Environment,CELISTA,700.0,1500.0,913.0714,14,-213.07141,
BCE-2A06P,2024-04-01 18:00:00,51.036342,-118.151603,British Columbia Environment,MOUNT REVELSTOKE,755.0,1850.0,1179.7222,27,-424.72217,
BCE-2A18P,2024-04-01 18:00:00,51.411289,-118.360656,British Columbia Environment,KEYSTONE CREEK,610.0,1840.0,951.8,5,-341.8,
BCE-2A21P,2024-04-01 18:00:00,52.220556,-118.225833,British Columbia Environment,MOLSON CREEK,632.0,1935.0,1025.5536,28,-393.5536,
BCE-2A30P,2024-04-01 18:00:00,51.607722,-117.610861,British Columbia Environment,COLPITTI CREEK,610.0,2131.0,851.6,5,-241.59998,
BCE-2A31P,2024-04-01 18:00:00,51.109028,-117.228417,British Columbia Environment,CARIBOU CREEK,664.0,2201.0,967.3,5,-303.3,
BCE-2A32P,2024-04-01 18:00:00,51.696303,-116.629411,British Columbia Environment,WILDCAT CREEK,451.0,2122.0,635.7,5,-184.70001,
BCE-2B06P,2024-04-01 18:00:00,50.068553,-118.351122,British Columbia Environment,BARNES CREEK,368.5,1620.0,554.3929,28,-185.89288,
BCE-2B08P,2024-04-01 18:00:00,50.434172,-117.701214,British Columbia Environment,ST. LEON CREEK,805.0,1800.0,1066.2142,28,-261.21423,[1996]
BCE-2C09Q,2024-04-01 18:00:00,49.447222,-114.975,British Columbia Environment,MORRISSEY RIDGE,455.0,1860.0,696.8571,28,-241.85712,
BCE-2C10P,2024-04-01 18:00:00,49.2515,-115.7739,British Columbia Environment,MOYIE MOUNTAIN,271.0,1835.0,451.5435,23,-180.54349,
BCE-2C14P,2024-04-01 18:00:00,51.059917,-116.137117,British Columbia Environment,FLOE LAKE,561.5,2090.0,712.28845,26,-150.78845,
BCE-2D08P,2024-04-01 18:00:00,50.6396,-116.929733,British Columbia Environment,EAST CREEK,714.0,2030.0,885.9138,29,-171.91382,
BCE-2D14P,2024-04-01 18:00:00,49.69008,-117.0865,British Columbia Environment,REDFISH CREEK,1137.0,2100.0,1340.3334,18,-203.33337,
BCE-2E07P,2024-04-01 18:00:00,49.55197,-118.6773,British Columbia Environment,GRANO CREEK,452.5,1870.0,513.0,23,-60.5,
BCE-2F01AP,2024-04-01 18:00:00,49.74017,-120.1891,British Columbia Environment,TROUT CREEK WEST,139.0,1420.0,235.5,3,-96.5,
BCE-2F05P,2024-04-01 18:00:00,49.94467,-118.9497,British Columbia Environment,MISSION CREEK,389.0,1780.0,498.25,30,-109.25,
BCE-2F08P,2024-04-01 18:00:00,49.616344,-119.422678,British Columbia Environment,GREYBACK RESERVOIR,151.0,1550.0,242.25,4,-91.25,
BCE-2F10P,2024-04-01 18:00:00,50.37136,-119.06211,British Columbia Environment,SILVER STAR MOUNTAIN,621.5,1840.0,718.625,4,-97.125,
BCE-2F18P,2024-04-01 18:00:00,49.862361,-119.982111,British Columbia Environment,BRENDA MINE,173.5,1460.0,329.59525,21,-156.09525,
BCE-2G03P,2024-04-01 18:00:00,49.09414,-120.7725,British Columbia Environment,BLACKWALL PEAK,408.0,1940.0,801.4667,30,-393.46667,
BCE-3A09P,2024-04-01 18:00:00,49.454444,-123.031944,British Columbia Environment,PALISADE LAKE,470.0,900.0,934.6,5,-464.59998,
BCE-3A20P,2024-04-01 18:00:00,50.137056,-123.102889,British Columbia Environment,CALLAGHAN,465.0,1017.0,798.5,2,-333.5,
BCE-3A24P,2024-04-01 18:00:00,51.77617,-124.6218,British Columbia Environment,MOSLEY CREEK UPPER,185.0,1650.0,283.53333,30,-98.533325,
BCE-3A25P,2024-04-01 18:00:00,50.1543,-123.4361,British Columbia Environment,SQUAMISH RIVER UPPER,805.5,1360.0,1570.18,25,-764.68005,
BCE-3A28P,2024-04-01 18:00:00,49.59785,-123.60499,British Columbia Environment,TETRAHEDRON,1279.0,1420.0,1208.5,2,70.5,
BCE-3B17P,2024-04-01 18:00:00,49.704139,-125.67925,British Columbia Environment,WOLF RIVER UPPER,841.0,1490.0,1285.3793,29,-444.37927,
BCE-3B23P,2024-04-01 18:00:00,48.969505,-124.276182,British Columbia Environment,JUMP CREEK,437.0,1160.0,1085.6305,23,-648.6305,[2015]
BCE-3B24P,2024-04-01 18:00:00,48.943875,-124.452113,British Columbia Environment,HEATHER MOUNTAIN UPPER,757.0,1190.0,1433.375,4,-676.375,
BCE-3B26P,2024-04-01 18:00:00,49.207376,-124.567776,British Columbia Environment,MOUNT ARROWSMITH,705.0,1465.0,993.0,3,-288.0,
BCE-3C08P,2024-04-01 18:00:00,52.480889,-126.247833,British Columbia Environment,BURNT BRIDGE CREEK,571.0,1330.0,789.4545,22,-218.45453,
BCE-4A02P,2024-04-01 18:00:00,55.353,-122.637333,British Columbia Environment,PINE PASS,730.0,1400.0,1007.9259,27,-277.9259,
BCE-4A03P,2024-04-01 18:00:00,57.396181,-125.700469,British Columbia Environment,WARE UPPER,153.0,1565.0,228.25,4,-75.25,
BCE-4A04P,2024-04-01 18:00:00,57.407556,-125.677339,British Columbia Environment,WARE LOWER,161.0,971.0,204.25,4,-43.25,
BCE-4A09P,2024-04-01 18:00:00,57.548583,-126.748314,British Columbia Environment,PULPIT LAKE,321.5,1311.0,420.05173,29,-98.55173,
BCE-4A13P,2024-04-01 18:00:00,55.1238,-123.897927,British Columbia Environment,PHILIP LAKE,162.0,1028.0,315.0,1,-153.0,
BCE-4A18P,2024-04-01 18:00:00,54.526667,-121.804167,British Columbia Environment,MOUNT SHEBA,584.5,1490.0,1040.0,2,-455.5,
BCE-4A20P,2024-04-01 18:00:00,54.725281,-121.231697,British Columbia Environment,MONKMAN CREEK,313.0,1570.0,465.0,2,-152.0,
BCE-4A27P,2024-04-01 18:00:00,57.623333,-125.073167,British Columbia Environment,KWADACHA NORTH,242.0,1554.0,304.57693,26,-62.576935,[1998]
